Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,1,56,0,0,13213,35.5,340,1
3,1,30.2,0,0,751,7.55,100,3
3,0,23,0,0,2314,7.55,340,3
3,1,30.2,0,0,349221,7.8958,340,3
2,0,18,0,1,231919,23,340,3
3,1,21,0,0,8475,8.4333,340,3
3,0,30.2,0,0,330919,7.8292,340,2
3,0,18,0,0,365226,6.75,340,2
2,1,24,2,0,14879,73.5,340,3
3,1,30.2,0,0,349223,7.8958,340,3
3,0,32,1,1,364849,15.5,340,2
2,1,23,0,0,29751,13,340,3
1,1,58,0,2,35273,113.275,340,1
1,1,50,2,0,17611,133.65,400,3
3,1,40,0,0,2623,7.225,340,1
1,1,47,0,0,5727,25.5875,340,3
3,1,36,0,0,349210,7.4958,500,3
3,1,20,1,0,23101285,7.925,340,3
2,1,32,2,0,14879,73.5,340,3
2,1,25,0,0,234686,13,340,3
3,1,30.2,0,0,312993,7.775,340,3
3,1,43,0,0,53536,8.05,340,3
1,0,30.2,1,0,19996,52,340,3
2,0,40,1,1,29750,39,300,3
1,1,31,1,0,12750,52,340,3
2,1,70,0,0,24580,10.5,200,3
2,1,31,0,0,244270,13,340,3
2,1,30.2,0,0,239856,0,340,3
3,1,18,0,0,349912,7.775,340,3
3,1,24.5,0,0,342826,8.05,340,3
3,0,18,0,0,4138,9.8417,340,3
3,0,43,1,6,2144,46.9,340,3
1,1,36,0,1,17755,512.3292,340,1
3,0,30.2,0,0,330935,8.1375,200,2
1,1,27,0,0,17572,76.7292,340,1
3,1,20,0,0,6563,9.225,400,3
3,1,14,5,2,2144,46.9,340,3
2,1,60,1,1,29750,39,340,3
2,1,25,1,2,2123,41.5792,340,1
3,1,14,4,1,3101295,39.6875,340,3
3,1,19,0,0,349228,10.1708,340,3
3,1,18,0,0,350036,7.7958,340,3
1,0,15,0,1,24160,211.3375,340,3
1,1,31,1,0,17474,57,200,3
3,0,4,0,1,349256,13.4167,200,1
3,1,30.2,0,0,1601,56.4958,340,3
3,1,25,0,0,2672,7.225,340,1
1,1,60,0,0,113800,26.55,340,3
2,1,52,0,0,248731,13.5,340,3
3,1,44,0,0,363592,8.05,340,3
3,0,30.2,0,0,35852,7.7333,340,2
1,1,49,1,1,17421,110.8833,340,1
3,1,42,0,0,348121,7.65,300,3
1,0,18,1,0,17757,227.525,650,1
1,1,35,0,0,17475,26.2875,300,3
3,0,18,0,1,2691,14.4542,500,1
3,1,25,0,0,36864,7.7417,340,2
3,1,26,1,0,350025,7.8542,340,3
2,1,39,0,0,250655,26,340,3
2,0,45,0,0,223596,13.5,340,3
1,1,42,0,0,17476,26.2875,340,3
1,0,22,0,0,113781,151.55,500,3
3,1,30.2,1,1,2661,15.2458,340,1
1,0,24,0,0,17482,49.5042,340,1
1,1,30.2,0,0,113028,26.55,300,3
1,1,48,1,0,19996,52,300,3
3,1,29,0,0,7545,9.4833,300,3
2,1,52,0,0,250647,13,340,3
3,1,19,0,0,348124,7.65,340,3
1,0,38,0,0,17757,227.525,650,1
2,0,27,0,0,34218,10.5,300,3
3,1,30.2,0,0,36568,15.5,500,2
3,1,33,0,0,347062,7.775,340,3
2,0,6,0,1,248727,33,340,3
3,1,17,1,0,350048,7.0542,340,3
2,1,34,0,0,12233,13,340,3
2,1,50,0,0,250643,13,340,3
1,1,27,1,0,113806,53.1,340,3
3,1,20,0,0,315094,8.6625,500,3
2,0,30,3,0,31027,21,340,3
3,0,30.2,0,0,36866,7.7375,340,2
2,1,25,1,0,236853,26,340,3
3,0,25,1,0,23101271,7.925,340,3
1,0,29,0,0,24160,211.3375,340,3
3,1,11,0,0,2699,18.7875,200,1
2,1,30.2,0,0,239855,0,340,3
2,1,23,0,0,28425,13,340,3
2,1,23,0,0,233639,13,340,3
3,1,28.5,0,0,54636,16.1,340,3
3,0,48,1,3,6608,34.375,340,3
1,1,35,0,0,17755,512.3292,340,1
3,1,30.2,0,0,349201,7.8958,200,3
3,1,30.2,0,0,349218,7.8958,340,3
1,1,30.2,0,0,16988,30,340,3
1,1,36,1,0,19877,78.85,400,3
1,0,21,2,2,17608,262.375,300,1
3,1,24,1,0,376566,16.1,200,3
3,1,31,0,0,23101288,7.925,340,3
1,1,70,1,1,5735,71,340,3
3,1,16,1,1,2673,20.25,200,3
2,0,30,0,0,250648,13,340,3
1,1,19,1,0,113773,53.1,340,3
3,1,31,0,0,335097,7.75,400,2
2,0,4,1,1,29103,23,340,3
3,1,6,0,1,392096,12.475,340,3
3,1,33,0,0,345780,9.5,500,3
3,1,23,0,0,349204,7.8958,340,3
2,0,48,1,2,220845,65,340,3
2,1,0.67,1,1,250649,14.5,340,3
3,1,28,0,0,350042,7.7958,340,3
2,1,18,0,0,29108,11.5,340,3
3,1,34,0,0,363294,8.05,340,3
1,0,33,0,0,110152,86.5,340,3
3,1,30.2,0,0,358585,14.5,200,3
3,1,41,0,0,23101272,7.125,340,3
3,1,20,0,0,2663,7.2292,340,1
1,0,36,1,2,113760,120,340,3
3,1,16,0,0,347074,7.775,200,3
1,0,51,1,0,13502,77.9583,340,3
1,1,30.2,0,0,112379,39.6,400,1
3,0,30.5,0,0,364850,7.75,340,2
3,1,30.2,1,0,371110,24.15,340,2
3,1,32,0,0,8471,8.3625,340,3
3,1,24,0,0,345781,9.5,340,3
3,1,48,0,0,350047,7.8542,340,3
2,0,57,0,0,3,10.5,340,3
3,1,30.2,0,0,2674,7.225,500,1
2,0,54,1,3,29105,23,340,3
3,1,18,0,0,347078,7.75,340,3
3,1,30.2,0,0,383121,7.75,340,2
3,0,5,0,0,364516,12.475,600,3
3,1,30.2,0,0,36865,7.7375,340,2
1,0,43,0,1,24160,211.3375,340,3
3,0,13,0,0,2687,7.2292,200,1
1,0,17,1,0,17474,57,340,3
1,1,29,0,0,113501,30,200,3
3,1,30.2,1,2,6607,23.45,400,3
3,1,25,0,0,3101312,7.05,340,3
3,1,25,0,0,374887,7.25,340,3
3,0,18,0,0,3101265,7.4958,340,3
3,1,8,4,1,382652,29.125,340,2
3,1,1,1,2,2315,20.575,340,3
1,1,46,0,0,17593,79.2,340,1
3,1,30.2,0,0,12460,7.75,200,2
2,1,16,0,0,239865,26,340,3
3,0,30.2,8,2,2343,69.55,340,3
1,1,30.2,0,0,17600,30.6958,340,1
3,1,25,0,0,349203,7.8958,340,3
2,1,39,0,0,28213,13,340,3
1,0,49,0,0,17465,25.9292,340,3
3,0,31,0,0,349244,8.6833,400,3
3,1,30,0,0,2685,7.2292,340,1
3,0,30,1,1,345773,24.15,340,3
2,1,34,0,0,250647,13,340,3
2,0,31,1,1,31921,26.25,340,3
1,1,11,1,2,113760,120,340,3
3,1,0.42,0,1,2625,8.5167,200,1
3,1,27,0,0,347089,6.975,340,3
3,1,31,0,0,347063,7.775,340,3
1,1,39,0,0,112050,0,340,3
3,0,18,0,0,347087,7.775,100,3
2,1,39,0,0,248723,13,340,3
1,0,33,1,0,113806,53.1,340,3
3,1,26,0,0,3474,7.8875,500,3
3,1,39,0,0,448871,24.15,340,3
2,1,35,0,0,28206,10.5,340,3
3,0,6,4,2,347082,31.275,340,3
3,1,30.5,0,0,364499,8.05,340,3
1,1,30.2,0,0,112058,0,340,3
3,0,23,0,0,23101290,7.925,200,3
2,1,31,1,1,2079,37.0042,340,1
3,1,43,0,0,7075,6.45,340,3
3,1,10,3,2,347088,27.9,340,3
1,0,52,1,1,12749,93.5,340,3
3,1,27,0,0,315098,8.6625,200,3
1,1,38,0,0,19972,0,340,3
3,0,27,0,1,392096,12.475,340,3
3,1,2,4,1,3101295,39.6875,500,3
3,1,30.2,0,0,368323,6.95,340,2
3,1,30.2,0,0,1601,56.4958,340,3
2,1,1,0,2,2079,37.0042,340,1
3,1,30.2,0,0,367228,7.75,340,2
1,0,62,0,0,113572,80,340,2.5
3,0,15,1,0,2659,14.4542,200,1
2,1,0.83,1,1,29106,18.75,340,3
3,1,30.2,0,0,2671,7.2292,340,1
3,1,23,0,0,347468,7.8542,340,3
3,1,18,0,0,2223,8.3,340,3
1,0,39,1,1,17756,83.1583,340,1
3,1,21,0,0,315097,8.6625,500,3
3,1,30.2,0,0,392092,8.05,340,3
3,1,32,0,0,1601,56.4958,340,3
1,1,30.2,0,0,11774,29.7,340,1
3,1,20,0,0,23101287,7.925,300,3
2,1,16,0,0,3,10.5,340,3
1,0,30,0,0,113798,31,340,1
3,1,34.5,0,0,2683,6.4375,340,1
3,1,17,0,0,315090,8.6625,340,3
3,1,42,0,0,5547,7.55,340,3
3,1,30.2,8,2,2343,69.55,340,3
3,1,35,0,0,349213,7.8958,340,1
2,1,28,0,1,248727,33,340,3
1,0,30.2,1,0,17453,89.1042,340,1
3,1,4,4,2,347082,31.275,300,3
3,1,74,0,0,347060,7.775,340,3
3,0,9,1,1,2678,15.2458,340,1
1,0,16,0,1,17592,39.4,340,3
2,0,44,1,0,244252,26,400,3
3,0,18,0,1,392091,9.35,340,3
1,0,45,1,1,36928,164.8667,340,3
1,1,51,0,0,113055,26.55,340,3
3,0,24,0,3,2666,19.2583,500,1
3,1,30.2,0,0,2629,7.2292,340,1
3,1,41,2,0,350026,14.1083,340,3
2,1,21,1,0,28134,11.5,340,3
1,0,48,0,0,17466,25.9292,340,3
3,0,30.2,8,2,2343,69.55,400,3
2,1,24,0,0,233866,13,340,3
2,0,42,0,0,236852,13,340,3
2,0,27,1,0,2149,13.8583,340,1
1,1,31,0,0,17590,50.4958,340,3
3,1,30.2,0,0,345777,9.5,100,3
3,1,4,1,1,347742,11.1333,340,3
3,1,26,0,0,349248,7.8958,340,3
1,0,47,1,1,11751,52.5542,340,3
1,1,33,0,0,695,5,400,3
3,1,47,0,0,345765,9,200,3
2,0,28,1,0,3381,24,340,1
3,0,15,0,0,2667,7.225,340,1
3,1,20,0,0,7534,9.8458,340,3
3,1,19,0,0,349212,7.8958,340,3
3,1,30.2,0,0,349217,7.8958,340,3
1,0,56,0,1,11767,83.1583,340,1
2,0,25,0,1,230433,26,300,3
3,1,33,0,0,349257,7.8958,340,3
3,0,22,0,0,7552,10.5167,340,3
2,1,28,0,0,34068,10.5,340,3
3,1,25,0,0,392076,7.05,340,3
3,0,39,0,5,382652,29.125,340,2
2,1,27,0,0,211536,13,340,3
1,0,19,0,0,112053,30,340,3
3,0,30.2,1,2,6607,23.45,200,3
1,1,26,0,0,111369,30,340,1
3,1,32,0,0,370376,7.75,300,2
